session_id,message_index,t_start_sec,t_end_sec,emotion_visual_deployed,n_frames_with_face,fer_p_angry,fer_p_disgust,fer_p_fear,fer_p_happy,fer_p_neutral,fer_p_sad,fer_p_surprise
00_00_00_05_03_00_00,17,288.39,302.746,neutral,3,8.466009246006424e-05,0.13025551098971588,6.217835650396464e-05,0.0003746757855220853,0.8688030615559745,0.00032733419506479367,9.257902475867034e-05
00_00_00_05_03_00_00,19,335.3,338.54,neutral,3,4.274218992126321e-05,0.2070245848675022,1.7424723464943804e-05,0.0013552648446159244,0.7914172833315568,0.00010269446195084436,4.000558098796868e-05
00_00_00_05_03_00_00,21,350.816,356.54,neutral,3,0.00022358139566478825,0.2561726651712544,3.084630675167207e-05,0.000979272453455107,0.7400938268070462,0.0010595389907347573,0.001440268875093097
00_00_00_05_03_00_00,23,381.98,394.52,neutral,3,0.005550710135426129,0.12521700647003564,8.384571266452975e-05,0.001075962620648028,0.5833153352375908,0.004777582032857738,0.27997955779077716
00_00_00_05_03_00_00,25,434.3,444.68,neutral,3,6.389687354488045e-05,0.0032905987632606127,4.0288049138608856e-05,0.0004907435255651977,0.9954718461100278,0.00015171466824436507,0.0004909120102184706
00_00_00_05_03_00_00,27,467.908,477.74,neutral,3,7.081113405998433e-05,0.028571786970231043,6.655232837605582e-05,0.0007052227284094427,0.9200411312141357,0.0003984445909337457,0.050146051033854104
00_00_00_05_03_00_00,29,509.484,523.582,neutral,3,0.00263438379973105,0.15289551272412613,0.0003568156919699791,0.004472371297770946,0.4443390393396317,0.004565406345820897,0.39073647080094925
00_00_00_05_03_00_00,31,568.04,571.58,neutral,3,1.3098611952842037e-05,0.007498933753833087,8.265327553385404e-06,0.00015009831554278256,0.9917765336428632,0.00011693696394091729,0.0004361333843137948
00_00_00_05_03_00_00,33,582.56,589.22,happy,3,0.00021525868728732063,0.10271999345395118,0.0001565107754192887,0.06698641907628741,0.8286162696589845,0.00031874880246655283,0.0009867995456038139
00_00_00_05_03_00_00,35,610.732,621.423,neutral,3,0.00032956898422651054,0.028382988580501575,6.336364027976139e-05,0.0009516777617332548,0.9478293591989944,0.005013577540840985,0.017429464293423545
00_00_00_05_03_00_00,37,661.682,670.712,neutral,3,0.00012567911668122776,0.008947199910631917,0.0001376762282970229,0.6156539855047645,0.3748863394505871,0.0002004642885469494,4.865550049145017e-05
00_00_00_05_03_00_00,39,700.105,709.962,neutral,3,2.218847528645826e-05,0.00476833375983269,4.1902912716442005e-06,0.0008621614266628433,0.9942483012529594,4.407490590740634e-05,5.0749888079500074e-05
00_00_00_05_03_00_00,41,759.427,769.42,neutral,3,0.003871690105993149,0.09103863945966227,0.0001216780106702853,0.001351855573202694,0.7072383836708851,0.0027018107777809727,0.1936759424018056
00_00_00_05_03_00_00,43,826.48,834.94,neutral,3,0.0240522580048006,0.05333366523190985,0.0001681433177929614,0.016823005721156026,0.7210317352878538,0.009737761545200042,0.17485343089128672
00_00_00_05_03_00_00,45,844.04,867.76,neutral,3,0.013318393886269554,0.07363334494967116,0.0007543012351355376,0.013855007165914325,0.8581447595239475,0.024609009137785607,0.015685184101276388
00_00_00_05_03_00_00,47,891.587,904.0,neutral,3,8.121711529889377e-05,0.005204786875475839,4.146401838385487e-05,0.3335906146336741,0.6545604679915733,0.00407960486270292,0.002441844502891204
00_00_00_05_03_00_00,49,963.3,981.878,neutral,3,0.0024207753729134315,0.2660745338325112,0.00034666382588911457,0.0015395466638602434,0.35808476310967186,0.005485770766748561,0.3660479464284057
00_00_00_05_03_00_00,51,1018.824,1036.026,neutral,3,0.00028610008175206905,0.043013166842197706,6.858412093560678e-05,0.0012061338713290543,0.9470578404808669,0.0033585861771811055,0.005009588425737521
00_00_00_05_03_00_00,53,1065.56,1088.831,neutral,3,2.6210898403832398e-05,0.07040575301546761,4.989634897283762e-05,0.00016907967110987054,0.9266599171117832,0.0022609394564910338,0.00042820349777157276
00_00_00_05_03_00_00,55,1136.66,1144.473,neutral,3,5.82659139001188e-05,0.3314474187565036,2.9731758669977746e-05,0.0017621667090286486,0.6664704311936086,0.00020115070384040475,3.083496444868433e-05
00_00_00_05_03_00_00,57,934.533,935.437,neutral,3,2.828414723719743e-05,0.006045733365571786,0.00013090821734333395,3.383502928268078e-05,0.9925952785102123,0.0011592457438946231,6.714986458035313e-06
00_00_00_05_03_00_00,59,1202.96,1216.77,neutral,3,0.00027758136376967844,0.0235486469447743,6.912517122518406e-05,0.00023044795327611058,0.6912414949448572,0.22405117462864918,0.06058152899344839
00_00_00_05_03_01_00,0,49.694,58.588,neutral,3,0.0004880004621789777,0.0002507021689963917,0.000108443227238159,0.0006344284031180563,0.9976540303001391,0.0008301103820582153,3.4285056271138005e-05
00_00_00_05_03_01_00,2,92.18,120.611,neutral,3,0.00018412237091844691,0.0339091632896126,0.004916436967388922,0.013632751594294175,0.9376903452380095,0.00781658212756797,0.0018505984122082564
00_00_00_05_03_01_00,4,145.18,160.95,neutral,3,9.222013286453426e-05,0.0011806957838756678,0.00019786771518585187,0.000331703416168108,0.993060434365904,0.0050870620895945165,5.0016496407463485e-05
00_00_00_05_03_01_00,6,217.609,246.983,neutral,3,0.00011920063880624496,0.0005824835735749437,0.00025861292365726815,0.00014807502052260944,0.9968154359843965,0.0019829858846633756,9.320597437914928e-05
